States/UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P],Note of Shortfall - [R-P],"Total Number of SNCU (up to January, 2020)",2017-18 - Total Central Allocation,2017-18 - Central Release - NRLM,2017-18 - Central Release - NRLP,2017-18 - Expenditure*,2018-19** - Total Central Allocation,2018-19** - Central Releases (NRLM),2018-19** - Expenditure *,2019-20 - Total Central Allocation,2019-20 - Central Releases (NRLM) Upto Oct. 2019,2019-20 - Expenditure * Upto Aug.2019,*Mobile Medical Units (MMUs) Operational,National Health Mission - 2015-16,National Health Mission - 2016-17,National AIDS Control Programme - 2015-16,National AIDS Control Programme - 2016-17,Dial 108,Dial 102/104,Other patients transport vehicle,Total Ambulance under NHM,State Ambulances,Amount Approved in 2014-15 ( Rs. in Lakhs),Total ASHAs,SubCenters_x,PHCs_x,CHCs_x,ANM/Health_Worker_Female_x,Doctors_x,Specialists_x,Radiographers_x,Pharmacists_x,LabTechinicians,NursingStaff_x,SubCenters_y,PHCs_y,CHCs_y,ANM/Health_Worker_Female_y,Doctors_y,Specialists_y,Radiographers_y,Pharmacists_y,LabTechnicians_x,NursingStaff_y,ANM_Vacent,ANM_Shortfall,Doctors_Vacent,Doctors_Shortfall,Specialists_Vacent,Specialists_Shortfall,Radiographers_Vacent,Radiographers_Shortfall,Pharmacists_Vacent,Pharmacists_Shortfall,LabTechnicians_Vacent,LabTechnicians_Shortfall,NursingStaff_Vacent,Nursing_Shortfall,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechnicians_y,NursingStaff,Rural_Population,Rural_Population_Density,Urban_Population,Urban_Population_Density,Total_Population,Total_Population_Density,Rural_Population_%,Tribal_Area,Rural_Area,Urban_Area,Total_Area,Rural_%,Number_of_Districts,Number_of_Villages
Meghalaya,109,128.0,112,16.0,,##,,*,5,1380.0,3502.8,0.0,1338.83,4944.0,4944.0,1919.68,8710.17,4355.09,1646.25,4,133.55,145.68,4.38,5.75,43,0,0,43,16,307.72,6671,401,101,24,608,123,1,26,121,134,263,477,118,28,1173,149,4,18,171,174,751,*,*,*,*,1,108.0,*,4,*,*,*,*,*,*,440,119,28,1041,190,4,24,168,192,754,2593000,117.0,671000,2372,3264000,146,79.4,,22146.11,282.89,22429,98.74,11,6983
Mizoram,57,152.0,56,96.0,1.0,###,,,5,1840.0,2991.78,0.0,1619.91,5442.38,4203.89,131.0,9588.2,4794.1,947.13,9,94.68,90.45,14.39,14.93,0,60,0,60,9,84.53,1170,366,57,9,345,35,0,0,35,31,122,370,59,9,699,60,0,5,56,86,205,,22,,*,,36.0,,1,,24,,*,,*,311,57,9,346,58,0,8,42,74,245,550000,27.0,657000,1119,1207000,57,45.6,21081.0,20494.0,587.0,21081,97.22,9,864
Nagaland,126,108.0,122,,4.0,,*,,3,2760.0,1380.0,0.0,2061.86,7295.57,5475.17,2273.29,12853.08,6426.54,1406.63,11,81.05,134.55,19.36,18.87,0,80,0,80,0,105.6,1922,394,87,21,342,53,0,11,85,45,520,433,126,21,1008,133,8,3,117,96,381,*,*,*,10,*,75.0,0,18,0,19,0,8,0,*,395,130,21,900,120,9,3,132,143,316,1263000,77.0,914000,3754,2177000,131,58.0,,16335.52,243.48,16579,98.53,11,1626
Odisha,1280,1285.0,940,345.0,340.0,,,,40,12185.48,12001.65,4342.2,31037.89,16939.12,20244.16,34231.2,23380.72,11690.36,11366.56,0,1205.77,1255.88,27.14,30.15,444,491,0,935,280,2600.3,48206,5927,1282,231,6768,1353,0,8,1984,311,637,6688,1288,377,9187,813,236,66,1778,632,2568,*,*,461,461,1169,1195.0,64,314,174,*,*,954,*,1423,6688,1288,377,8985,827,313,63,1694,711,2504,37123000,244.0,8342000,2489,45465000,292,81.7,4785.36,152355.34,3351.66,155707,97.85,30,52141
Pondicherry,40,38.0,46,,,,*,*,4,400.0,327.8,0.0,0.0,400.0,306.7,0.0,600.0,300.0,0.0,4,21.77,32.56,3.79,3.71,11,0,0,11,53,220.66,0,76,39,4,115,63,6,4,58,20,95,54,24,2,128,41,1,3,46,26,182,1,*,0,*,1,12.0,0,0,*,*,2,*,*,*,53,24,3,119,45,0,3,33,28,165,468000,1395.0,1081000,6994,1549000,3161,30.2,0.0,335.44,154.56,490,68.46,4,125
Punjab,432,593.0,568,25.0,,,,*,24,1146.58,573.29,0.0,308.93,1593.87,1380.61,1270.68,2199.98,1099.99,1092.0,33,649.49,687.75,28.09,31.16,242,0,0,242,496,1597.91,20915,2858,484,116,2602,373,226,57,811,600,640,2950,416,89,4530,562,93,139,722,551,1806,788,*,194,36,346,433.0,27,23,223,*,244,42,734,*,2950,427,143,3703,391,139,120,629,528,1732,17848000,373.0,12331000,4904,30179000,599,59.1,,47847.4,2514.6,50362,4.99,22,12968
Rajasthan,2079,2664.0,2382,282.0,,,,*,60,6108.79,9110.24,2427.55,16127.98,8491.88,8442.36,13008.44,11721.17,5860.59,8997.61,202,1799.11,1856.77,31.43,32.56,730,587,0,1317,363,2769.57,61927,10512,1713,326,11425,1506,581,269,2355,2065,8425,13512,2082,571,15425,1932,455,343,1224,1893,8889,3024,657,325,249,938,1754.0,335,219,858,1532,950,663,2236,*,13480,2094,548,14917,1845,438,329,1110,1979,8174,57986000,173.0,20623000,3109,78609000,230,73.8,19770.15,335606.04,6632.96,342239,98.06,34,46737
Sikkim,24,,30,,,,,*,2,690.0,619.36,0.0,584.54,2134.0,1067.0,732.16,2948.06,1092.34,1335.52,4,50.71,50.57,4.75,3.81,0,0,0,0,31,53.21,666,147,24,4,260,48,4,5,3,32,45,176,29,2,260,41,0,4,15,35,73,*,*,14,*,2,6.0,*,*,2,13,*,*,5,*,147,24,2,268,34,2,4,13,37,92,379000,54.0,293000,7660,672000,95,56.4,4520.0,7057.75,38.25,7096,99.46,4,454
Tamil Nadu,1362,2927.0,2759,168.0,,,,*,73,9420.09,13907.84,995.73,17951.46,13094.93,17444.53,32340.38,18074.67,9037.34,1532.7,407,1633.37,1816.97,58.27,72.39,829,0,0,829,950,2133.89,32399,8682,1380,35,10112,2257,48,28,1252,861,167,8713,1422,385,9983,1777,179,92,2043,1064,5888,1523,*,268,*,91,1312.0,91,241,238,220,707,640,1173,*,8713,1420,385,10489,2708,228,144,1585,1165,7072,36182000,311.0,39985000,2933,76167000,586,47.5,2538.0,116427.97,13632.03,130060,89.52,32,18478
Telangana,689,1318.0,966,352.0,,,,*,27,4438.98,3456.04,0.0,4982.21,6170.66,3085.33,4632.01,8517.24,4258.62,3015.62,0,505.55,687.15,34.44,31.95,316,0,0,316,362,1823.75,3905,0,0,0,0,0,0,0,0,0,0,4744,636,85,7932,1213,258,44,442,647,2097,1053,*,41,*,367,82.0,55,41,233,279,126,74,336,*,4744,636,85,7943,1213,258,44,442,647,2076,20401000,215.0,17135000,4588,37536000,380,54.4,16156.0,94949.0,3735.0,98684,96.22,31,11227
Tripura,93,0.0,156,,,,*,*,6,3105.0,3677.15,0.0,4075.84,8958.0,8575.63,4831.52,15705.14,7852.57,168.29,4,118.77,141.27,7.45,6.95,0,0,0,0,72,540.84,7946,539,73,10,561,152,2,4,63,43,274,972,108,18,664,216,2,11,163,120,636,N App,389,N App,*,N App,87.0,N App,9,N App,*,N App,*,N App,*,965,107,22,683,222,1,13,171,146,746,2576000,255.0,1466000,3741,4042000,385,63.7,7132.56,10094.12,391.88,10486,96.26,8,898
Uttar Pradesh,3621,4509.0,2209,2300.0,1412.0,,,,81,36486.54,27362.74,1752.06,37256.39,50720.22,39151.8,60168.39,70008.07,35004.04,17982.0,0,4451.78,4901.1,52.37,60.75,1488,2270,150,3908,0,21668.96,168246,20521,3660,386,18146,0,0,0,0,0,0,20782,2936,679,29082,3180,484,82,2883,963,18504,3885,67,819,121,1355,2028.0,213,522,58,*,640,1779,2349,449,20778,2880,711,23591,2759,816,189,4181,1812,7408,174804000,749.0,54127000,7157,228931000,950,76.4,,233365.71,7562.29,240928,96.86,75,107256
Uttarakhand,257,386.0,215,171.0,42.0,,,,5,1921.04,1921.04,0.0,2964.16,2670.45,3853.52,3364.8,3685.97,2586.24,2282.81,6,335.95,346.01,12.86,10.35,139,109,0,248,160,699.07,11665,1576,225,44,1486,182,71,30,281,32,129,1847,257,67,1825,269,27,5,304,63,329,197,90,130,*,204,192.0,13,47,8,*,75,252,149,406,1839,257,56,2006,346,32,9,317,61,243,7393000,141.0,3920000,4346,11313000,212,65.3,,52581.08,901.92,53483,98.31,13,17053
West Bengal,914,1390.0,918,472.0,,,,*,69,13541.73,20164.33,4162.25,36009.06,18824.48,20978.27,34498.93,25983.03,21608.31,20149.06,52,1487.62,1743.92,38.8,37.81,0,0,2960,2960,281,726.0,59786,10356,1173,95,9070,1319,133,77,1231,341,1479,10357,908,348,18997,810,71,182,1411,785,5811,647,*,292,*,781,751.0,121,186,89,*,384,544,831,*,10357,913,348,18591,1098,641,162,1460,717,7778,62854000,752.0,34865000,6810,97719000,1101,64.3,32911.31,83632.59,5119.41,88752,94.23,23,41002
Total,25642,10530.0,27100,2943.0,3027.0,,,,863,202800.0,213427.36,43150.93,370842.71,304336.89,301369.6,441031.71,429290.79,239281.2,147108.26,1428,26160.98,28290.82,761.25,858.29,8936,9367,6183,24486,11115,54296.43,1026149,145972,23228,3345,133130,20285,3546,1336,17691,12277,28913,157399,24850,5335,234196,29794,3881,2419,26200,18713,80976,33618,3647,8638,1704,8401,15775.0,1700,2884,5648,5635,7243,10453,15335,7235,155154,24881,5176,212165,28488,4952,2430,25766,19882,71804,890329000,288.0,463049000,4530,1353378000,413,65.8,549541.0,3088115.0,102225.0,3274083,94.32,705,664469
